,,Subject,,,fz098,
641,93.637,Entry,3,Wait,,
642,94.138,Exit,3,Wait,Time,
643,94.138,List,,TrialType10,    9.000,
644,94.138,Entry,9,CueRight,,
645,94.238,Exit,9,CueRight,Time,
646,94.238,Entry,10,DeadRight,,
647,94.338,Exit,10,DeadRight,Time,
648,94.338,Entry,11,WaitForLickRight,,
649,94.568,Input,6,On1B2,,
650,94.568,Exit,11,WaitForLickRight,6,
651,94.568,Entry,12,HitRight,,
652,94.570,Exit,12,HitRight,Time,
653,94.570,Entry,16,WaterOut,,
654,94.645,Exit,16,WaterOut,Time,
655,94.645,Entry,17,WaterConsumption,,
656,94.645,Reg,14,CupUp, 1925.000,
657,94.651,Input,38,Off1B2,,
658,96.367,Input,6,On1B2,,
659,96.409,Input,38,Off1B2,,
660,96.571,Exit,17,WaterConsumption,Time,
661,96.571,Entry,19,TrialEnd,,
662,96.571,Reg,3,ActionRate,    1.000,
663,96.571,Reg,4,LeftCorrect,    1.000,
664,96.571,Reg,5,RightCorrect,    0.833,
665,96.573,Exit,19,TrialEnd,Time,
666,96.573,Entry,1,Trial,,
667,96.573,Reg,1,Trial,   12.000,
668,96.574,Exit,1,Trial,Time,
669,96.574,Entry,2,ITI,,
670,96.574,Reg,6,ITItime, 3451.372,
671,98.079,Input,6,On1B2,,
672,98.142,Input,38,Off1B2,,
673,99.458,Input,6,On1B2,,
674,99.530,Input,38,Off1B2,,
675,99.870,Input,6,On1B2,,
676,99.941,Input,38,Off1B2,,
677,100.027,Exit,2,ITI,Time,
678,100.027,Entry,3,Wait,,
679,100.137,Input,6,On1B2,,
680,100.137,Exit,3,Wait,6,
681,100.137,Entry,18,Punish,,
682,100.219,Input,38,Off1B2,,
683,100.527,Input,6,On1B2,,
684,100.609,Input,38,Off1B2,,
685,100.815,Input,6,On1B2,,
686,100.907,Input,38,Off1B2,,
687,101.137,Exit,18,Punish,Time,
688,101.137,Entry,3,Wait,,
689,101.541,Input,6,On1B2,,
690,101.541,Exit,3,Wait,6,
